 CG ITER, OVMR, OVMRUB =          89   57981.2070312   61453.5156250
 CG ITER, OVMR, OVMRUB =          90   58000.7695312   61453.5156250
 CG ITER, OVMR, OVMRUB =          91   58003.5742188   61453.5156250
 CG ITER, OVMR, OVMRUB =          92   58020.5117188   61453.5156250
 CG ITER, OVMR, OVMRUB =          93   58033.4492188   61453.5156250
 CG ITER, OVMR, OVMRUB =          94   58056.8164062   61453.5156250
 CG ITER, OVMR, OVMRUB =          95   58072.5039062   61453.5156250
 CG ITER, OVMR, OVMRUB =          96   58078.4453125   61453.5156250
 CG ITER, OVMR, OVMRUB =          97   58097.3007812   61453.5156250
 CG ITER, OVMR, OVMRUB =          98   58106.0429688   61453.5156250
 CG ITER, OVMR, OVMRUB =          99   58120.9960938   61453.5156250
 CG ITER, OVMR, OVMRUB =         100   58141.2890625   61453.5156250
 CG ITER, OVMR, OVMRUB =         101   58141.8125000   61453.5156250
 CG ITER, OVMR, OVMRUB =         102   58157.2070312   61453.5156250
 CG ITER, OVMR, OVMRUB =         103   58180.4921875   61453.5156250
 CG ITER, OVMR, OVMRUB =         104   58184.3750000   61453.5156250
 CG ITER, OVMR, OVMRUB =         105   58203.8710938   61453.5156250
 CG ITER, OVMR, OVMRUB =         106   58204.0195312   61453.5156250
 CG ITER, OVMR, OVMRUB =         107   58218.5703125   61453.5156250
 CG ITER, OVMR, OVMRUB =         108   58235.3515625   61042.6093750
 CG ITER, OVMR, OVMRUB =         109   58248.2226562   61042.6093750
 CG ITER, OVMR, OVMRUB =         110   58260.1835938   61042.6093750
 CG ITER, OVMR, OVMRUB =         111   58274.5195312   61042.6093750
 CG ITER, OVMR, OVMRUB =         112   58274.5195312   61042.6093750
OVLB =   58274.5195312 OVLUB =   61042.6093750 TIME =      26.3199997
