 CG ITER, OVMR, OVMRUB =          89   91097.6406250   97449.1718750
 CG ITER, OVMR, OVMRUB =          90   91093.8046875   97449.1718750
 CG ITER, OVMR, OVMRUB =          91   91087.8437500   97248.1718750
 CG ITER, OVMR, OVMRUB =          92   91084.2031250   97248.1718750
 CG ITER, OVMR, OVMRUB =          93   91080.5859375   97248.1718750
 CG ITER, OVMR, OVMRUB =          94   91080.0703125   97248.1718750
 CG ITER, OVMR, OVMRUB =          95   91072.8984375   97248.1718750
 CG ITER, OVMR, OVMRUB =          96   91069.6171875   97248.1718750
 CG ITER, OVMR, OVMRUB =          97   91067.8281250   97248.1718750
 CG ITER, OVMR, OVMRUB =          98   91067.2187500   97248.1718750
 CG ITER, OVMR, OVMRUB =          99   91066.5078125   97248.1718750
 CG ITER, OVMR, OVMRUB =         100   91066.5781250   97248.1718750
 CG ITER, OVMR, OVMRUB =         101   91062.4296875   97248.1718750
 CG ITER, OVMR, OVMRUB =         102   91060.8359375   97248.1718750
 CG ITER, OVMR, OVMRUB =         103   91058.8281250   96225.0937500
 CG ITER, OVMR, OVMRUB =         104   91058.2421875   96225.0937500
 CG ITER, OVMR, OVMRUB =         105   91053.8906250   95510.1718750
 CG ITER, OVMR, OVMRUB =         106   91053.3593750   94779.4453125
 CG ITER, OVMR, OVMRUB =         107   91053.1640625   94717.5312500
 CG ITER, OVMR, OVMRUB =         108   91053.1406250   94717.5312500
 CG ITER, OVMR, OVMRUB =         109   91052.6171875   94717.5312500
 CG ITER, OVMR, OVMRUB =         110   91052.6171875   94324.5468750
OVLB =   91052.6171875 OVLUB =   94324.5468750 TIME =     551.5599976
